#l b boxsize ext_law ejk ak error_ejk
5.0000 -4.1460 2 2 0.2027 0.1070 0.0971
5.0000 -4.1960 2 2 0.2057 0.1085 0.0972
5.0000 -4.2460 2 2 0.2067 0.1092 0.0973
5.0000 -4.2960 2 2 0.2142 0.1130 0.0995
5.0000 -4.3470 2 2 0.2182 0.1152 0.0991
5.0000 -4.3970 2 2 0.2335 0.1232 0.0984
5.0000 -4.4470 2 2 0.2105 0.1113 0.1008
5.0000 -4.4970 2 2 0.2073 0.1095 0.1012
5.0000 -4.5480 2 2 0.2120 0.1120 0.1009
5.0000 -4.5980 2 2 0.2070 0.1092 0.0990
5.0000 -4.6480 2 2 0.2043 0.1077 0.0978
5.0000 -4.6980 2 2 0.2208 0.1165 0.1002
5.0000 -4.7490 2 2 0.2370 0.1250 0.0965
5.0000 -4.7990 2 2 0.2325 0.1230 0.0957
5.0000 -4.8490 2 2 0.2310 0.1220 0.0954
5.0000 -4.8990 2 2 0.2050 0.1080 0.0982
5.0000 -4.9500 2 2 0.1990 0.1050 0.0958
5.0000 -5.0000 2 2 0.1930 0.1020 0.0933
4.8990 5.0000 2 2 0.3365 0.1780 0.1096
4.8990 4.9500 2 2 0.3363 0.1775 0.0987
4.8990 4.8990 2 2 0.3575 0.1890 0.0996
4.8990 4.8490 2 2 0.3803 0.2010 0.1020
4.8990 4.7990 2 2 0.3822 0.2017 0.0992
4.8990 4.7490 2 2 0.3747 0.1980 0.0995
4.8990 4.6980 2 2 0.3728 0.1970 0.0973
4.8990 4.6480 2 2 0.3840 0.2027 0.1035
4.8990 4.5980 2 2 0.4140 0.2185 0.1028
4.8990 4.5480 2 2 0.4475 0.2362 0.1004
4.8990 4.4970 2 2 0.4742 0.2502 0.1089
4.8990 4.4470 2 2 0.4750 0.2508 0.1084
4.8990 4.3970 2 2 0.4762 0.2512 0.1169
4.8990 4.3470 2 2 0.4525 0.2390 0.1075
4.8990 4.2960 2 2 0.4313 0.2275 0.0981
4.8990 4.2460 2 2 0.4230 0.2235 0.0994
4.8990 4.1960 2 2 0.4238 0.2235 0.1000
4.8990 4.1460 2 2 0.3982 0.2102 0.1002
4.8990 4.0950 2 2 0.3693 0.1950 0.1006
4.8990 4.0450 2 2 0.3740 0.1975 0.1026
4.8990 3.9950 2 2 0.3875 0.2045 0.1062
4.8990 3.9450 2 2 0.4178 0.2205 0.0989
4.8990 3.8940 2 2 0.4153 0.2193 0.0995
4.8990 3.8440 2 2 0.3968 0.2095 0.1029
4.8990 3.7940 2 2 0.4100 0.2165 0.1011
4.8990 3.7440 2 2 0.4148 0.2190 0.1023
4.8990 3.6930 2 2 0.4455 0.2350 0.1037
4.8990 3.6430 2 2 0.4828 0.2550 0.1016
